                    combo28    att406    att622   guard18     id868     id740    small4     att10
        IDLE + 0.2s         1         1         1         0         0         0        17  3190469120
        IDLE + 0.3s         1         1         1         0         0         0  1081711360  3190469120
        IDLE + 0.3s         1         1         1         2         0         0  1081711360  3190469120
        IDLE + 0.3s         1         1         1        29         0         0  1081711360  3190469120
        IDLE + 0.4s         1         1         1         1         0         0         1  3190469120
        IDLE + 0.4s         1         1         1         0         0         0         1  1107032353
        IDLE + 0.4s         1         1         1        30         0         0        28  1107032353
        IDLE + 0.5s         1         1         1         2         0       438         0  1107032353
        IDLE + 0.5s         1         1         1         1         0         0         0  1107032353
        IDLE + 0.5s         1         1         1         0         0        73         1  1107032353
        IDLE + 0.6s         1         1         1         0         0         0  1081857024  1107032353
        IDLE + 0.6s         1         1         1        24         0       123  1081857024     27415
        IDLE + 0.6s         1         1         1         4         0       438  1081857024     27415
        IDLE + 0.6s         1         1         1        24         0         0  1081857024     27415
        IDLE + 0.7s         1         1         1         0         0         0  1081915904     27415
        IDLE + 0.7s         1         1         1         1         0         0        12     27415
        IDLE + 0.7s         1         1         1        12         0       515         1  4294967295
        IDLE + 0.8s         1         1         1         1         0  1142691244         1  4294967295
        IDLE + 0.8s         1         1         1         0         0         0  1092490112  4294967295
        IDLE + 0.8s         1         1         1        12         0         0  1092490112  4294967295
        IDLE + 0.9s         1         1         1         2         0         0  1092490112  4294967295
        IDLE + 0.9s         1         1         1         1         0       742  1092490112  4294967295
        IDLE + 0.9s         1         1         1        25         0         0         0  3250043158
        IDLE + 1.0s         1         1         1         0         0         0  1082049024  3250043158
        IDLE + 1.0s         1         1         1         0         0       742         0  3250043158
        IDLE + 1.0s         1         1         1         2         0         0         0  3250043158
        IDLE + 1.0s         1         1         1         0         0         0        24  3250043158
        IDLE + 1.1s         1         1         1         0         0         0         0  3250043158
        IDLE + 1.1s         0         1         0         2         0         0         1     27415
        IDLE + 1.1s         0         1         0        24         0         0         1     27415
        IDLE + 1.2s         0         1         0         1         0         0         1     27415
        IDLE + 1.2s         0         1         0         0         0         0  1082147584     27415
        IDLE + 1.2s         0         1         0         1         0         0        24     27415
        IDLE + 1.3s         0         1         0         1         0         0         1  3250084941
        IDLE + 1.3s         0         1         0        24         0         0         2  3250084941
        IDLE + 1.3s         0         1         0         1         0         0         2  3250084941
        IDLE + 1.3s         0         1         0         1         0         0         0  3250084941
        IDLE + 1.4s         0         1         0         0         0       467         1  3250084941
        IDLE + 1.4s         0         1         0        24         0       845         2  3250084941
        IDLE + 1.4s         0         1         0        24         0         0         2  3216991678
        IDLE + 1.5s         0         1         0         1         0         0         1  3216991678
        IDLE + 1.5s         0         1         0        14         0       467         1  3216991678
        IDLE + 1.5s         0         1         0         2         0         0         1  3216991678
        IDLE + 1.6s         0         1         0        24         0         0         2  3216991678
        IDLE + 1.6s        57         1        57        22         0         0         1     27415
        IDLE + 1.6s        57         1        57        32         0         0         1     27415
        IDLE + 1.7s        57         1        57        29         0         0         1     27415
        IDLE + 1.7s        57         1        57        28         0         0        29     27415
        IDLE + 1.7s        57         1        57         0         0         0  1082278016     27415
        IDLE + 1.7s        57         1        57         1         0         0  1100925504     27415
        IDLE + 1.8s        57         1        57         1         0         0  1100925504  1065353216
        IDLE + 1.8s        57         1        57         2         0         0  1100925504  1065353216
        IDLE + 1.8s        57         1        57         0         0         0         0  1065353216
        IDLE + 1.9s        57         1        57        14         0         0         0  1065353216
        IDLE + 1.9s        57         1        57         2         0       845  1100936096  1065353216
        IDLE + 1.9s        57         1        57         2         0         0        28         0
        IDLE + 2.0s        57         1        57         0         0         0         2         0
        IDLE + 2.0s        57         1        57        32         0       845         2         0
        IDLE + 2.1s        57         1        57         1         0         0         0         0
        IDLE + 2.1s        57  1065353216        57        32         0       467         0         0
        IDLE + 2.1s        57  1065353216        57         1         0         0         1         0
